token,level,duration_min,output_token,output_amount,input_token_1,input_amount_1,input_token_2,input_amount_2,upgrade_token,upgrade_amount
STEAM,14,480,STEAM,2,OXYGEN,3.54,LAVA,7.08,SCREWS,118
STEAM,15,480,STEAM,3,OXYGEN,5.22,LAVA,10.43,SCREWS,160
SCREWS,1,2880,SCREWS,1,STEEL,3,,,EARTH,1
SCREWS,2,2100,SCREWS,1,STEEL,2.98,,,SCREWS,3
SCREWS,3,1680,SCREWS,1,STEEL,2.96,,,SCREWS,5
SCREWS,4,1380,SCREWS,1,STEEL,2.94,,,SCREWS,7
SCREWS,5,1170,SCREWS,1,STEEL,2.91,,,SCREWS,10
SCREWS,6,1020,SCREWS,1,STEEL,2.88,,,SCREWS,13
SCREWS,7,900,SCREWS,1,STEEL,2.85,,,SCREWS,18
SCREWS,8,810,SCREWS,1,STEEL,2.81,,,SCREWS,24
SCREWS,9,735,SCREWS,1,STEEL,2.77,,,SCREWS,32
SCREWS,10,675,SCREWS,1,STEEL,2.72,,,SCREWS,42
SCREWS,11,620,SCREWS,1,STEEL,2.67,,,SCREWS,55
SCREWS,12,570,SCREWS,1,STEEL,2.61,,,SCREWS,72
SCREWS,13,530,SCREWS,1,STEEL,2.55,,,SCREWS,93
SCREWS,14,500,SCREWS,1,STEEL,2.48,,,SCREWS,120
SCREWS,15,480,SCREWS,1,STEEL,2.4,,,SCREWS,155
FUEL,1,3360,FUEL,1,GAS,3,,,EARTH,1
FUEL,2,2760,FUEL,1,GAS,2.97,,,SCREWS,8
FUEL,3,2400,FUEL,1,GAS,2.94,,,SCREWS,9
FUEL,4,2100,FUEL,1,GAS,2.91,,,SCREWS,10
FUEL,5,1800,FUEL,1,GAS,2.88,,,SCREWS,12
FUEL,6,1560,FUEL,1,GAS,2.86,,,SCREWS,14
FUEL,7,1380,FUEL,1,GAS,2.83,,,SCREWS,17
FUEL,8,1200,FUEL,1,GAS,2.8,,,SCREWS,22
FUEL,9,1080,FUEL,1,GAS,2.78,,,SCREWS,28
FUEL,10,960,FUEL,1,GAS,2.75,,,SCREWS,37
FUEL,11,840,FUEL,1,GAS,2.73,,,SCREWS,49
FUEL,12,720,FUEL,1,GAS,2.7,,,SCREWS,66
FUEL,13,630,FUEL,1,GAS,2.68,,,SCREWS,90
FUEL,14,540,FUEL,1,GAS,2.65,,,SCREWS,123
FUEL,15,480,FUEL,1,GAS,2.61,,,SCREWS,170
CEMENT,1,3840,CEMENT,1,CERAMICS,10,STONE,3,EARTH,1
CEMENT,2,3120,CEMENT,1,CERAMICS,9.9,STONE,2.97,SCREWS,8
CEMENT,3,2700,CEMENT,1,CERAMICS,9.8,STONE,2.94,SCREWS,9
CEMENT,4,2340,CEMENT,1,CERAMICS,9.71,STONE,2.91,SCREWS,10
CEMENT,5,2040,CEMENT,1,CERAMICS,9.62,STONE,2.88,CERAMICS,53
CEMENT,6,1800,CEMENT,1,CERAMICS,9.52,STONE,2.86,CERAMICS,63
CEMENT,7,1820,CEMENT,1,CERAMICS,9.43,STONE,2.83,STONE,26
CEMENT,8,1440,CEMENT,1,CERAMICS,9.35,STONE,2.8,STONE,33
CEMENT,9,1260,CEMENT,1,CERAMICS,9.26,STONE,2.78,STONE,42
CEMENT,10,1080,CEMENT,1,CERAMICS,9.17,STONE,2.75,CEMENT,9
CEMENT,11,900,CEMENT,1,CERAMICS,9.09,STONE,2.73,CEMENT,12
CEMENT,12,750,CEMENT,1,CERAMICS,9.01,STONE,2.7,ACID,33
CEMENT,13,630,CEMENT,1,CERAMICS,8.93,STONE,2.68,ACID,45
CEMENT,14,540,CEMENT,1,CERAMICS,8.85,STONE,2.65,PLASTICS,7
CEMENT,15,480,CEMENT,1,CERAMICS,8.7,STONE,2.61,PLASTICS,10
OIL,1,5760,OIL,1,FUEL,3,,,EARTH,1
OIL,2,4320,OIL,1,FUEL,2.96,,,SCREWS,10
OIL,3,3360,OIL,1,FUEL,2.93,,,SCREWS,15
OIL,4,2760,OIL,1,FUEL,2.89,,,SCREWS,23
OIL,5,2280,OIL,1,FUEL,2.85,,,SCREWS,33
OIL,6,1920,OIL,1,FUEL,2.8,,,SCREWS,47
OIL,7,1560,OIL,1,FUEL,2.76,,,SCREWS,66
OIL,8,1200,OIL,1,FUEL,2.71,,,SCREWS,91
OIL,9,900,OIL,1,FUEL,2.66,,,SCREWS,127
OIL,10,600,OIL,1,FUEL,2.61,,,SCREWS,175
ACID,1,6480,ACID,1,SCREWS,2,FUEL,2,EARTH,1
ACID,2,4680,ACID,1,SCREWS,1.98,FUEL,1.98,SCREWS,10
ACID,3,3660,ACID,1,SCREWS,1.95,FUEL,1.95,CERAMICS,69
ACID,4,3000,ACID,1,SCREWS,1.93,FUEL,1.93,CERAMICS,102
ACID,5,2460,ACID,1,SCREWS,1.9,FUEL,1.9,STONE,49
ACID,6,2040,ACID,1,SCREWS,1.87,FUEL,1.87,STONE,70
ACID,7,1620,ACID,1,SCREWS,1.84,FUEL,1.84,CEMENT,16
ACID,8,1260,ACID,1,SCREWS,1.81,FUEL,1.81,ACID,46
ACID,9,900,ACID,1,SCREWS,1.77,FUEL,1.77,ACID,63
ACID,10,600,ACID,1,SCREWS,1.74,FUEL,1.74,PLASTICS,11
SULFUR,1,7200,SULFUR,1,STEEL,8,LAVA,10,EARTH,1
SULFUR,2,5040,SULFUR,1,STEEL,7.91,LAVA,9.88,SCREWS,10
SULFUR,3,3960,SULFUR,1,STEEL,7.81,LAVA,9.76,GLASS,38
SULFUR,4,3240,SULFUR,1,STEEL,7.7,LAVA,9.63,GLASS,57
SULFUR,5,2640,SULFUR,1,STEEL,7.59,LAVA,9.49,GLASS,82
SULFUR,6,2160,SULFUR,1,STEEL,7.48,LAVA,9.35,SULFUR,17
SULFUR,7,1680,SULFUR,1,STEEL,7.36,LAVA,9.19,SULFUR,25
SULFUR,8,1260,SULFUR,1,STEEL,7.23,LAVA,9.04,SULFUR,34
SULFUR,9,900,SULFUR,1,STEEL,7.1,LAVA,8.87,FIBERGLASS,14
SULFUR,10,600,SULFUR,1,STEEL,6.96,LAVA,8.7,FIBERGLASS,19
PLASTICS,1,10080,PLASTICS,1,CEMENT,3,ACID,2,EARTH,1
PLASTICS,2,7200,PLASTICS,1,CEMENT,2.96,ACID,1.98,SCREWS,15
PLASTICS,3,5280,PLASTICS,1,CEMENT,2.93,ACID,1.95,CERAMICS,79
PLASTICS,4,3840,PLASTICS,1,CEMENT,2.89,ACID,1.93,CERAMICS,96
PLASTICS,5,2880,PLASTICS,1,CEMENT,2.85,ACID,1.9,STONE,41
PLASTICS,6,2160,PLASTICS,1,CEMENT,2.8,ACID,1.87,STONE,56
PLASTICS,7,1680,PLASTICS,1,CEMENT,2.76,ACID,1.84,CEMENT,13
PLASTICS,8,1320,PLASTICS,1,CEMENT,2.71,ACID,1.81,ACID,41
PLASTICS,9,1020,PLASTICS,1,CEMENT,2.66,ACID,1.77,ACID,63
PLASTICS,10,720,PLASTICS,1,CEMENT,2.61,ACID,1.74,PLASTICS,12
FIBERGLASS,1,11520,FIBERGLASS,1,GLASS,10,SULFUR,2,EARTH,1
FIBERGLASS,2,7920,FIBERGLASS,1,GLASS,9.88,SULFUR,1.98,SCREWS,15
FIBERGLASS,3,5520,FIBERGLASS,1,GLASS,9.76,SULFUR,1.95,GLASS,44
FIBERGLASS,4,3840,FIBERGLASS,1,GLASS,9.63,SULFUR,1.93,GLASS,53
FIBERGLASS,5,2880,FIBERGLASS,1,GLASS,9.49,SULFUR,1.9,GLASS,69
FIBERGLASS,6,2160,FIBERGLASS,1,GLASS,9.35,SULFUR,1.87,SULFUR,14
FIBERGLASS,7,1680,FIBERGLASS,1,GLASS,9.19,SULFUR,1.84,SULFUR,20
FIBERGLASS,8,1320,FIBERGLASS,1,GLASS,9.04,SULFUR,1.81,SULFUR,30
FIBERGLASS,9,1020,FIBERGLASS,1,GLASS,8.87,SULFUR,1.77,SULFUR,47
FIBERGLASS,10,720,FIBERGLASS,1,GLASS,8.7,SULFUR,1.74,FIBERGLASS,21
ENERGY,1,12960,ENERGY,1,OIL,2,HEAT,72,EARTH,1
ENERGY,2,8640,ENERGY,1,OIL,1.98,HEAT,71.16,SCREWS,15
ENERGY,3,5760,ENERGY,1,OIL,1.95,HEAT,70.27,SCREWS,18
ENERGY,4,3840,ENERGY,1,OIL,1.93,HEAT,69.33,SCREWS,21
ENERGY,5,2880,ENERGY,1,OIL,1.9,HEAT,68.34,SCREWS,27
ENERGY,6,2160,ENERGY,1,OIL,1.87,HEAT,67.3,SCREWS,37
ENERGY,7,1680,ENERGY,1,OIL,1.84,HEAT,66.2,SCREWS,54
ENERGY,8,1320,ENERGY,1,OIL,1.81,HEAT,65.06,SCREWS,81
ENERGY,9,1020,ENERGY,1,OIL,1.77,HEAT,63.86,SCREWS,126
ENERGY,10,720,ENERGY,1,OIL,1.74,HEAT,62.61,SCREWS,200
HYDROGEN,1,14400,HYDROGEN,1,STEAM,7,ENERGY,2,EARTH,1
HYDROGEN,2,8640,HYDROGEN,1,STEAM,6.8,ENERGY,1.94,SCREWS,20
HYDROGEN,3,4320,HYDROGEN,1,STEAM,6.6,ENERGY,1.89,SCREWS,30
HYDROGEN,4,2400,HYDROGEN,1,STEAM,6.36,ENERGY,1.82,SCREWS,70
HYDROGEN,5,1440,HYDROGEN,1,STEAM,6.09,ENERGY,1.74,SCREWS,200
DYNAMITE,1,20160,DYNAMITE,1,FIBERGLASS,3,PLASTICS,2,EARTH,1
DYNAMITE,2,11520,DYNAMITE,1,FIBERGLASS,2.91,PLASTICS,1.94,SCREWS,20
DYNAMITE,3,5760,DYNAMITE,1,FIBERGLASS,2.83,PLASTICS,1.89,SCREWS,30
DYNAMITE,4,2880,DYNAMITE,1,FIBERGLASS,2.73,PLASTICS,1.82,SCREWS,70
DYNAMITE,5,1440,DYNAMITE,1,FIBERGLASS,2.61,PLASTICS,1.74,SCREWS,200
